time | time (millisecond),membrane | V (millivolt)
788,-86.3939
789,-86.3939
790,-86.394
791,-86.3941
792,-86.3941
793,-86.3942
794,-86.3943
795,-86.3943
796,-86.3944
797,-86.3944
798,-86.3945
799,-86.3946
800,-86.3946
801,-86.3947
802,-86.3947
803,-86.3948
804,-86.3949
805,-86.3949
806,-86.395
807,-86.395
808,-86.3951
809,-86.3951
810,-86.3952
811,-86.3953
812,-86.3953
813,-86.3954
814,-86.3954
815,-86.3955
816,-86.3955
817,-86.3956
818,-86.3956
819,-86.3957
820,-86.3957
821,-86.3958
822,-86.3958
823,-86.3959
824,-86.3959
825,-86.396
826,-86.396
827,-86.3961
828,-86.3961
829,-86.3962
830,-86.3962
831,-86.3963
832,-86.3963
833,-86.3964
834,-86.3964
835,-86.3965
836,-86.3965
837,-86.3966
838,-86.3966
839,-86.3967
840,-86.3967
841,-86.3968
842,-86.3968
843,-86.3968
844,-86.3969
845,-86.3969
846,-86.397
847,-86.397
848,-86.3971
849,-86.3971
850,-86.3971
851,-86.3972
852,-86.3972
853,-86.3973
854,-86.3973
855,-86.3974
856,-86.3974
857,-86.3974
858,-86.3975
859,-86.3975
860,-86.3976
861,-86.3976
862,-86.3976
863,-86.3977
864,-86.3977
865,-86.3978
866,-86.3978
867,-86.3978
868,-86.3979
869,-86.3979
870,-86.3979
871,-86.398
872,-86.398
873,-86.3981
874,-86.3981
875,-86.3981
876,-86.3982
877,-86.3982
878,-86.3982
879,-86.3983
880,-86.3983
881,-86.3983
882,-86.3984
883,-86.3984
884,-86.3985
885,-86.3985
886,-86.3985
887,-86.3986
888,-86.3986
889,-86.3986
890,-86.3987
891,-86.3987
892,-86.3987
893,-86.3988
894,-86.3988
895,-86.3988
896,-86.3988
897,-86.3989
898,-86.3989
899,-86.3989
900,-86.399
901,-86.399
902,-86.399
903,-86.3991
904,-86.3991
905,-86.3991
906,-86.3992
907,-86.3992
908,-86.3992
909,-86.3992
910,-86.3993
911,-86.3993
912,-86.3993
913,-86.3994
914,-86.3994
915,-86.3994
916,-86.3994
917,-86.3995
918,-86.3995
919,-86.3995
920,-86.3996
921,-86.3996
922,-86.3996
923,-86.3996
924,-86.3997
925,-86.3997
926,-86.3997
927,-86.3997
928,-86.3998
929,-86.3998
930,-86.3998
931,-86.3999
932,-86.3999
933,-86.3999
934,-86.3999
935,-86.4
936,-86.4
937,-86.4
938,-86.4
939,-86.4001
940,-86.4001
941,-86.4001
942,-86.4001
943,-86.4002
944,-86.4002
945,-86.4002
946,-86.4002
947,-86.4002
948,-86.4003
949,-86.4003
950,-86.4003
951,-86.4003
952,-86.4004
953,-86.4004
954,-86.4004
955,-86.4004
956,-86.4005
957,-86.4005
958,-86.4005
959,-86.4005
960,-86.4005
961,-86.4006
962,-86.4006
963,-86.4006
964,-86.4006
965,-86.4006
966,-86.4007
967,-86.4007
968,-86.4007
969,-86.4007
970,-86.4008
971,-86.4008
972,-86.4008
973,-86.4008
974,-86.4008
975,-86.4009
976,-86.4009
977,-86.4009
978,-86.4009
979,-86.4009
980,-86.401
981,-86.401
982,-86.401
983,-86.401
984,-86.401
985,-86.4011
986,-86.4011
987,-86.4011
988,-86.4011
989,-86.4011
990,-86.4011
991,-86.4012
992,-86.4012
993,-86.4012
994,-86.4012
995,-86.4012
996,-86.4013
997,-86.4013
998,-86.4013
999,-86.4013
1000,-86.4013
1001,-86.4013
1002,-86.4014
1003,-86.4014
1004,-86.4014
1005,-86.4014
1006,-86.4014
1007,-86.4015
1008,-86.4015
1009,-86.4015
1010,-86.4015
1011,19.3124
1012,31.1743
1013,23.769
1014,19.9847
1015,17.7521
1016,16.3147
1017,15.4086
1018,14.8952
1019,14.6811
1020,14.6933
1021,14.8716
1022,15.167
1023,15.5406
1024,15.9629
1025,16.4124
1026,16.8738
1027,17.3368
1028,17.7938
1029,18.2387
1030,18.6672
1031,19.0764
1032,19.4646
1033,19.8305
1034,20.1733
1035,20.4923
1036,20.7872
1037,21.0579
1038,21.3044
1039,21.5271
1040,21.7266
1041,21.9036
1042,22.0589
1043,22.1937
1044,22.3091
1045,22.4063
1046,22.4865
1047,22.5511
1048,22.6013
1049,22.6383
1050,22.6633
1051,22.6774
1052,22.6817
1053,22.6773
1054,22.6649
1055,22.6454
1056,22.6197
1057,22.5883
1058,22.552
1059,22.5114
1060,22.4668
1061,22.4188
1062,22.3677
1063,22.314
1064,22.2579
1065,22.1998
1066,22.1398
1067,22.0782
1068,22.0151
1069,21.9509
1070,21.8855
1071,21.8191
1072,21.7519
1073,21.6838
1074,21.6151
1075,21.5458
