environment | time (millisecond),membrane | V (millivolt)
500,-86.3423
501,-86.3428
502,-86.3433
503,-86.3438
504,-86.3442
505,-86.3447
506,-86.3452
507,-86.3457
508,-86.3461
509,-86.3466
510,-86.3471
511,-86.3475
512,-86.348
513,-86.3484
514,-86.3489
515,-86.3493
516,-86.3497
517,-86.3502
518,-86.3506
519,-86.351
520,-86.3514
521,-86.3519
522,-86.3523
523,-86.3527
524,-86.3531
525,-86.3535
526,-86.3539
527,-86.3543
528,-86.3547
529,-86.3551
530,-86.3555
531,-86.3558
532,-86.3562
533,-86.3566
534,-86.357
535,-86.3573
536,-86.3577
537,-86.3581
538,-86.3584
539,-86.3588
540,-86.3591
541,-86.3595
542,-86.3598
543,-86.3602
544,-86.3605
545,-86.3608
546,-86.3612
547,-86.3615
548,-86.3618
549,-86.3622
550,-86.3625
551,-86.3628
552,-86.3631
553,-86.3635
554,-86.3638
555,-86.3641
556,-86.3644
557,-86.3647
558,-86.365
559,-86.3653
560,-86.3656
561,-86.3659
562,-86.3662
563,-86.3665
564,-86.3668
565,-86.3671
566,-86.3673
567,-86.3676
568,-86.3679
569,-86.3682
570,-86.3684
571,-86.3687
572,-86.369
573,-86.3693
574,-86.3695
575,-86.3698
576,-86.37
577,-86.3703
578,-86.3706
579,-86.3708
580,-86.3711
581,-86.3713
582,-86.3716
583,-86.3718
584,-86.3721
585,-86.3723
586,-86.3725
587,-86.3728
588,-86.373
589,-86.3733
590,-86.3735
591,-86.3737
592,-86.3739
593,-86.3742
594,-86.3744
595,-86.3746
596,-86.3748
597,-86.3751
598,-86.3753
599,-86.3755
600,-86.3757
601,-86.3759
602,-86.3761
603,-86.3764
604,-86.3766
605,-86.3768
606,-86.377
607,-86.3772
608,-86.3774
609,-86.3776
610,-86.3778
611,-86.378
612,-86.3782
613,-86.3784
614,-86.3786
615,-86.3787
616,-86.3789
617,-86.3791
618,-86.3793
619,-86.3795
620,-86.3797
621,-86.3799
622,-86.38
623,-86.3802
624,-86.3804
625,-86.3806
626,-86.3807
627,-86.3809
628,-86.3811
629,-86.3813
630,-86.3814
631,-86.3816
632,-86.3818
633,-86.3819
634,-86.3821
635,-86.3823
636,-86.3824
637,-86.3826
638,-86.3827
639,-86.3829
640,-86.3831
641,-86.3832
642,-86.3834
643,-86.3835
644,-86.3837
645,-86.3838
646,-86.384
647,-86.3841
648,-86.3843
649,-86.3844
650,-86.3846
651,-86.3847
652,-86.3848
653,-86.385
654,-86.3851
655,-86.3853
656,-86.3854
657,-86.3855
658,-86.3857
659,-86.3858
660,-86.3859
661,-86.3861
662,-86.3862
663,-86.3863
664,-86.3865
665,-86.3866
666,-86.3867
667,-86.3869
668,-86.387
669,-86.3871
670,-86.3872
671,-86.3874
672,-86.3875
673,-86.3876
674,-86.3877
675,-86.3878
676,-86.388
677,-86.3881
678,-86.3882
679,-86.3883
680,-86.3884
681,-86.3885
682,-86.3887
683,-86.3888
684,-86.3889
685,-86.389
686,-86.3891
687,-86.3892
688,-86.3893
689,-86.3894
690,-86.3895
691,-86.3897
692,-86.3898
693,-86.3899
694,-86.39
695,-86.3901
696,-86.3902
697,-86.3903
698,-86.3904
699,-86.3905
700,-86.3906
701,-86.3907
702,-86.3908
703,-86.3909
704,-86.391
705,-86.3911
706,-86.3912
707,-86.3913
708,-86.3913
709,-86.3914
710,-86.3915
711,-86.3916
712,-86.3917
713,-86.3918
714,-86.3919
715,-86.392
716,-86.3921
717,-86.3922
718,-86.3923
719,-86.3923
720,-86.3924
721,-86.3925
722,-86.3926
723,-86.3927
724,-86.3928
725,-86.3928
726,-86.3929
727,-86.393
728,-86.3931
729,-86.3932
730,-86.3933
731,-86.3933
732,-86.3934
733,-86.3935
734,-86.3936
735,-86.3937
736,-86.3937
737,-86.3938
738,-86.3939
739,-86.394
740,-86.394
741,-86.3941
742,-86.3942
743,-86.3943
744,-86.3943
745,-86.3944
746,-86.3945
747,-86.3945
748,-86.3946
749,-86.3947
750,-86.3947
751,-86.3948
752,-86.3949
753,-86.395
754,-86.395
755,-86.3951
756,-86.3952
757,-86.3952
758,-86.3953
759,-86.3954
760,-86.3954
761,-86.3955
762,-86.3955
763,-86.3956
764,-86.3957
765,-86.3957
766,-86.3958
767,-86.3959
768,-86.3959
769,-86.396
770,-86.396
771,-86.3961
772,-86.3962
773,-86.3962
774,-86.3963
775,-86.3963
776,-86.3964
777,-86.3965
778,-86.3965
779,-86.3966
780,-86.3966
781,-86.3967
782,-86.3967
783,-86.3968
784,-86.3969
785,-86.3969
786,-86.397
787,-86.397
788,-86.3971
789,-86.3971
790,-86.3972
791,-86.3972
792,-86.3973
793,-86.3973
794,-86.3974
795,-86.3974
796,-86.3975
797,-86.3975
798,-86.3976
799,-86.3976
800,-86.3977
801,-86.3977
802,-86.3978
803,-86.3978
804,-86.3979
805,-86.3979
806,-86.398
807,-86.398
808,-86.3981
809,-86.3981
810,-86.3982
811,-86.3982
812,-86.3983
813,-86.3983
814,-86.3983
815,-86.3984
816,-86.3984
817,-86.3985
818,-86.3985
819,-86.3986
820,-86.3986
821,-86.3987
822,-86.3987
823,-86.3987
824,-86.3988
825,-86.3988
826,-86.3989
827,-86.3989
828,-86.3989
829,-86.399
830,-86.399
831,-86.3991
832,-86.3991
833,-86.3991
834,-86.3992
835,-86.3992
836,-86.3993
837,-86.3993
838,-86.3993
839,-86.3994
840,-86.3994
841,-86.3995
842,-86.3995
843,-86.3995
844,-86.3996
845,-86.3996
846,-86.3996
847,-86.3997
848,-86.3997
849,-86.3998
850,-86.3998
851,-86.3998
852,-86.3999
853,-86.3999
854,-86.3999
855,-86.4
856,-86.4
857,-86.4
858,-86.4001
859,-86.4001
860,-86.4001
861,-86.4002
862,-86.4002
863,-86.4002
864,-86.4003
865,-86.4003
866,-86.4003
867,-86.4004
868,-86.4004
869,-86.4004
870,-86.4005
871,-86.4005
872,-86.4005
873,-86.4006
874,-86.4006
875,-86.4006
876,-86.4006
877,-86.4007
878,-86.4007
879,-86.4007
880,-86.4008
881,-86.4008
882,-86.4008
883,-86.4009
884,-86.4009
885,-86.4009
886,-86.4009
887,-86.401
888,-86.401
889,-86.401
890,-86.4011
891,-86.4011
892,-86.4011
893,-86.4011
894,-86.4012
895,-86.4012
896,-86.4012
897,-86.4012
898,-86.4013
899,-86.4013
900,-86.4013
901,-86.4013
902,-86.4014
903,-86.4014
904,-86.4014
905,-86.4015
906,-86.4015
907,-86.4015
908,-86.4015
909,-86.4016
910,-86.4016
911,-86.4016
912,-86.4016
913,-86.4017
914,-86.4017
915,-86.4017
916,-86.4017
917,-86.4017
918,-86.4018
919,-86.4018
920,-86.4018
921,-86.4018
922,-86.4019
923,-86.4019
924,-86.4019
925,-86.4019
926,-86.402
927,-86.402
928,-86.402
929,-86.402
930,-86.402
931,-86.4021
932,-86.4021
933,-86.4021
934,-86.4021
935,-86.4022
936,-86.4022
937,-86.4022
938,-86.4022
939,-86.4022
940,-86.4023
941,-86.4023
942,-86.4023
943,-86.4023
944,-86.4023
945,-86.4024
946,-86.4024
947,-86.4024
948,-86.4024
949,-86.4024
950,-86.4025
951,-86.4025
952,-86.4025
953,-86.4025
954,-86.4025
955,-86.4026
956,-86.4026
957,-86.4026
958,-86.4026
959,-86.4026
960,-86.4027
961,-86.4027
962,-86.4027
963,-86.4027
964,-86.4027
965,-86.4028
966,-86.4028
967,-86.4028
968,-86.4028
969,-86.4028
970,-86.4028
971,-86.4029
972,-86.4029
973,-86.4029
974,-86.4029
975,-86.4029
976,-86.4029
977,-86.403
978,-86.403
979,-86.403
980,-86.403
981,-86.403
982,-86.4031
983,-86.4031
984,-86.4031
985,-86.4031
986,-86.4031
987,-86.4031
988,-86.4032
989,-86.4032
990,-86.4032
991,-86.4032
992,-86.4032
993,-86.4032
994,-86.4032
995,-86.4033
996,-86.4033
997,-86.4033
998,-86.4033
999,-86.4033
1000,-86.4033
1001,-86.4034
1002,-86.4034
1003,-86.4034
1004,-86.4034
1005,-86.4034
1006,-86.4034
1007,-86.4034
1008,-86.4035
1009,-86.4035
1010,-86.4035
1011,19.2988
1012,36.797
1013,35.1675
1014,33.2667
1015,31.1281
1016,29.0562
1017,27.2337
1018,25.7238
1019,24.527
1020,23.6137
1021,22.9421
1022,22.4685
1023,22.1523
1024,21.9584
1025,21.8573
1026,21.8255
1027,21.844
1028,21.8981
1029,21.9749
1030,22.0652
1031,22.1622
1032,22.261
1033,22.3582
1034,22.4513
1035,22.5386
1036,22.6191
1037,22.6918
1038,22.7565
1039,22.8129
1040,22.8609
1041,22.9007
1042,22.9324
1043,22.9564
1044,22.9728
1045,22.9821
1046,22.9846
1047,22.9806
1048,22.9706
1049,22.9549
1050,22.9339
1051,22.9078
1052,22.8772
1053,22.8423
1054,22.8033
1055,22.7607
1056,22.7146
1057,22.6653
1058,22.6131
1059,22.5582
1060,22.5008
1061,22.4411
1062,22.3792
1063,22.3154
1064,22.2497
1065,22.1823
1066,22.1133
1067,22.0429
1068,21.9711
1069,21.8981
1070,21.8238
1071,21.7485
1072,21.6721
1073,21.5947
1074,21.5164
1075,21.4372
1076,21.3571
1077,21.2763
1078,21.1947
1079,21.1124
1080,21.0293
1081,20.9456
1082,20.8612
1083,20.7761
1084,20.6904
1085,20.6041
1086,20.5172
1087,20.4296
1088,20.3415
1089,20.2527
1090,20.1634
1091,20.0735
1092,19.983
1093,19.8919
1094,19.8002
1095,19.7079
1096,19.615
1097,19.5215
1098,19.4274
1099,19.3326
1100,19.2373
1101,19.1414
1102,19.0448
1103,18.9475
1104,18.8497
1105,18.7511
1106,18.6519
1107,18.5521
1108,18.4515
1109,18.3503
1110,18.2484
1111,18.1457
1112,18.0423
1113,17.9382
1114,17.8333
1115,17.7277
1116,17.6213
1117,17.5141
1118,17.4061
1119,17.2973
1120,17.1877
1121,17.0773
1122,16.966
1123,16.8538
1124,16.7407
1125,16.6268
1126,16.5119
1127,16.3961
1128,16.2793
1129,16.1616
1130,16.043
1131,15.9233
1132,15.8026
1133,15.6808
1134,15.5581
1135,15.4342
1136,15.3093
1137,15.1832
1138,15.0561
1139,14.9278
1140,14.7983
1141,14.6676
1142,14.5357
1143,14.4026
1144,14.2682
1145,14.1326
1146,13.9956
1147,13.8574
1148,13.7178
1149,13.5768
1150,13.4344
1151,13.2906
1152,13.1453
1153,12.9985
1154,12.8503
1155,12.7005
1156,12.5492
1157,12.3963
1158,12.2417
1159,12.0855
1160,11.9277
1161,11.7681
1162,11.6067
1163,11.4436
1164,11.2787
1165,11.112
1166,10.9434
1167,10.7728
1168,10.6003
1169,10.4259
1170,10.2494
1171,10.0709
1172,9.89021
1173,9.70743
1174,9.52247
1175,9.3353
1176,9.14586
1177,8.95413
1178,8.76005
1179,8.56357
1180,8.36467
1181,8.16328
1182,7.95936
1183,7.75287
1184,7.54376
1185,7.33197
1186,7.11746
1187,6.90017
1188,6.68005
1189,6.45705
1190,6.23111
1191,6.00218
1192,5.7702
1193,5.5351
1194,5.29684
1195,5.05535
1196,4.81056
1197,4.56241
1198,4.31084
1199,4.05577
1200,3.79713
1201,3.53486
1202,3.26886
1203,2.99907
1204,2.7254
1205,2.44777
1206,2.16608
1207,1.88024
1208,1.59014
1209,1.2957
1210,0.996776
1211,0.69327
1212,0.385048
1213,0.0719777
1214,-0.246086
1215,-0.569298
1216,-0.897823
1217,-1.23184
1218,-1.57153
1219,-1.91711
1220,-2.2688
1221,-2.62682
1222,-2.99144
1223,-3.36292
1224,-3.74156
1225,-4.12767
1226,-4.52158
1227,-4.92365
1228,-5.33426
1229,-5.75382
1230,-6.18275
1231,-6.62151
1232,-7.07059
1233,-7.53048
1234,-8.00174
1235,-8.48491
1236,-8.98058
1237,-9.48936
1238,-10.0119
1239,-10.5488
1240,-11.1008
1241,-11.6685
1242,-12.2526
1243,-12.8539
1244,-13.473
1245,-14.1107
1246,-14.7676
1247,-15.4444
1248,-16.1418
1249,-16.8604
1250,-17.6008
1251,-18.3637
1252,-19.1494
1253,-19.9587
1254,-20.7919
1255,-21.6495
1256,-22.5319
1257,-23.4397
1258,-24.3732
1259,-25.333
1260,-26.3195
1261,-27.3334
1262,-28.3753
1263,-29.4463
1264,-30.5472
1265,-31.6793
1266,-32.8443
1267,-34.0439
1268,-35.2803
1269,-36.5563
1270,-37.875
1271,-39.24
1272,-40.6559
1273,-42.1274
1274,-43.6604
1275,-45.2613
1276,-46.9369
1277,-48.6946
1278,-50.5412
1279,-52.4828
1280,-54.5227
1281,-56.6597
1282,-58.8857
1283,-61.1817
1284,-63.5149
1285,-65.8478
1286,-68.1344
1287,-70.3264
1288,-72.3808
1289,-74.2659
1290,-75.9636
1291,-77.4689
1292,-78.7877
1293,-79.9328
1294,-80.9211
1295,-81.7705
1296,-82.4982
1297,-83.1195
1298,-83.6478
1299,-84.0947
1300,-84.4699
1301,-84.7826
1302,-85.0408
1303,-85.252
1304,-85.4233
1305,-85.5611
1306,-85.6712
1307,-85.7587
1308,-85.828
1309,-85.8828
1310,-85.926
1311,-85.9602
1312,-85.9873
1313,-86.0089
1314,-86.0262
1315,-86.0402
1316,-86.0517
1317,-86.0611
1318,-86.0691
1319,-86.0758
1320,-86.0817
1321,-86.0868
1322,-86.0914
1323,-86.0956
1324,-86.0994
1325,-86.1029
1326,-86.1063
1327,-86.1095
1328,-86.1125
1329,-86.1155
1330,-86.1183
1331,-86.1211
1332,-86.1238
1333,-86.1265
1334,-86.1291
1335,-86.1317
1336,-86.1343
1337,-86.1368
1338,-86.1393
1339,-86.1417
1340,-86.1442
1341,-86.1466
1342,-86.1489
1343,-86.1513
1344,-86.1536
1345,-86.1559
1346,-86.1582
1347,-86.1605
1348,-86.1627
1349,-86.1649
1350,-86.1671
1351,-86.1693
1352,-86.1714
1353,-86.1736
1354,-86.1757
1355,-86.1778
1356,-86.1798
1357,-86.1819
1358,-86.1839
1359,-86.1859
1360,-86.1879
1361,-86.1899
1362,-86.1918
1363,-86.1937
1364,-86.1956
1365,-86.1975
1366,-86.1994
1367,-86.2013
1368,-86.2031
1369,-86.2049
1370,-86.2067
1371,-86.2085
1372,-86.2103
1373,-86.212
1374,-86.2137
1375,-86.2154
1376,-86.2171
1377,-86.2188
1378,-86.2205
1379,-86.2221
1380,-86.2237
1381,-86.2253
1382,-86.2269
1383,-86.2285
1384,-86.2301
1385,-86.2316
1386,-86.2331
1387,-86.2347
1388,-86.2362
1389,-86.2376
1390,-86.2391
1391,-86.2406
1392,-86.242
1393,-86.2434
1394,-86.2448
1395,-86.2462
1396,-86.2476
1397,-86.249
1398,-86.2503
1399,-86.2517
1400,-86.253
1401,-86.2543
1402,-86.2556
1403,-86.2569
1404,-86.2582
1405,-86.2594
1406,-86.2607
1407,-86.2619
1408,-86.2631
1409,-86.2644
1410,-86.2656
1411,-86.2667
1412,-86.2679
1413,-86.2691
1414,-86.2702
1415,-86.2714
1416,-86.2725
1417,-86.2736
1418,-86.2747
1419,-86.2758
1420,-86.2769
1421,-86.278
1422,-86.2791
1423,-86.2801
1424,-86.2811
1425,-86.2822
1426,-86.2832
1427,-86.2842
1428,-86.2852
1429,-86.2862
1430,-86.2872
1431,-86.2882
1432,-86.2891
1433,-86.2901
1434,-86.291
1435,-86.292
1436,-86.2929
1437,-86.2938
1438,-86.2947
1439,-86.2956
1440,-86.2965
1441,-86.2974
1442,-86.2983
1443,-86.2991
1444,-86.3
1445,-86.3008
1446,-86.3017
1447,-86.3025
1448,-86.3033
1449,-86.3041
1450,-86.3049
1451,-86.3057
1452,-86.3065
1453,-86.3073
1454,-86.3081
1455,-86.3089
1456,-86.3096
1457,-86.3104
1458,-86.3111
1459,-86.3119
1460,-86.3126
1461,-86.3133
1462,-86.314
1463,-86.3148
1464,-86.3155
1465,-86.3162
1466,-86.3169
1467,-86.3175
1468,-86.3182
1469,-86.3189
1470,-86.3196
1471,-86.3202
1472,-86.3209
1473,-86.3215
1474,-86.3222
1475,-86.3228
1476,-86.3234
1477,-86.3241
1478,-86.3247
1479,-86.3253
1480,-86.3259
1481,-86.3265
1482,-86.3271
1483,-86.3277
1484,-86.3283
1485,-86.3289
1486,-86.3294
1487,-86.33
1488,-86.3306
1489,-86.3311
1490,-86.3317
1491,-86.3322
1492,-86.3328
1493,-86.3333
1494,-86.3338
1495,-86.3344
1496,-86.3349
1497,-86.3354
1498,-86.3359
1499,-86.3364
1500,-86.3369
1501,-86.3374
1502,-86.3379
1503,-86.3384
1504,-86.3389
1505,-86.3394
1506,-86.3399
1507,-86.3404
1508,-86.3408
1509,-86.3413
1510,-86.3418
1511,-86.3422
1512,-86.3427
1513,-86.3431
1514,-86.3436
1515,-86.344
1516,-86.3444
1517,-86.3449
1518,-86.3453
1519,-86.3457
1520,-86.3462
1521,-86.3466
1522,-86.347
1523,-86.3474
1524,-86.3478
1525,-86.3482
1526,-86.3486
1527,-86.349
1528,-86.3494
1529,-86.3498
1530,-86.3502
1531,-86.3506
1532,-86.3509
1533,-86.3513
1534,-86.3517
1535,-86.3521
1536,-86.3524
1537,-86.3528
1538,-86.3532
1539,-86.3535
1540,-86.3539
1541,-86.3542
1542,-86.3546
1543,-86.3549
1544,-86.3553
1545,-86.3556
1546,-86.3559
1547,-86.3563
1548,-86.3566
1549,-86.3569
1550,-86.3573
1551,-86.3576
1552,-86.3579
1553,-86.3582
1554,-86.3585
1555,-86.3588
1556,-86.3591
1557,-86.3595
1558,-86.3598
1559,-86.3601
1560,-86.3604
1561,-86.3607
1562,-86.361
1563,-86.3612
1564,-86.3615
1565,-86.3618
1566,-86.3621
1567,-86.3624
1568,-86.3627
1569,-86.3629
1570,-86.3632
1571,-86.3635
1572,-86.3638
1573,-86.364
1574,-86.3643
1575,-86.3646
1576,-86.3648
1577,-86.3651
1578,-86.3653
1579,-86.3656
1580,-86.3658
1581,-86.3661
1582,-86.3663
1583,-86.3666
1584,-86.3668
1585,-86.3671
1586,-86.3673
1587,-86.3676
1588,-86.3678
1589,-86.368
1590,-86.3683
1591,-86.3685
1592,-86.3687
1593,-86.3689
1594,-86.3692
1595,-86.3694
1596,-86.3696
1597,-86.3698
1598,-86.3701
1599,-86.3703
1600,-86.3705
1601,-86.3707
1602,-86.3709
1603,-86.3711
1604,-86.3713
1605,-86.3715
1606,-86.3717
1607,-86.3719
1608,-86.3721
1609,-86.3723
1610,-86.3725
1611,-86.3727
1612,-86.3729
1613,-86.3731
1614,-86.3733
1615,-86.3735
1616,-86.3737
1617,-86.3739
1618,-86.3741
1619,-86.3743
1620,-86.3744
1621,-86.3746
1622,-86.3748
1623,-86.375
