environment | time (millisecond),membrane | V (millivolt)
748,-86.3943
749,-86.3944
750,-86.3945
751,-86.3945
752,-86.3946
753,-86.3947
754,-86.3947
755,-86.3948
756,-86.3949
757,-86.3949
758,-86.395
759,-86.3951
760,-86.3951
761,-86.3952
762,-86.3952
763,-86.3953
764,-86.3954
765,-86.3954
766,-86.3955
767,-86.3956
768,-86.3956
769,-86.3957
770,-86.3957
771,-86.3958
772,-86.3959
773,-86.3959
774,-86.396
775,-86.396
776,-86.3961
777,-86.3961
778,-86.3962
779,-86.3963
780,-86.3963
781,-86.3964
782,-86.3964
783,-86.3965
784,-86.3965
785,-86.3966
786,-86.3966
787,-86.3967
788,-86.3967
789,-86.3968
790,-86.3969
791,-86.3969
792,-86.397
793,-86.397
794,-86.3971
795,-86.3971
796,-86.3972
797,-86.3972
798,-86.3973
799,-86.3973
800,-86.3974
801,-86.3974
802,-86.3975
803,-86.3975
804,-86.3975
805,-86.3976
806,-86.3976
807,-86.3977
808,-86.3977
809,-86.3978
810,-86.3978
811,-86.3979
812,-86.3979
813,-86.398
814,-86.398
815,-86.3981
816,-86.3981
817,-86.3981
818,-86.3982
819,-86.3982
820,-86.3983
821,-86.3983
822,-86.3984
823,-86.3984
824,-86.3984
825,-86.3985
826,-86.3985
827,-86.3986
828,-86.3986
829,-86.3986
830,-86.3987
831,-86.3987
832,-86.3988
833,-86.3988
834,-86.3988
835,-86.3989
836,-86.3989
837,-86.399
838,-86.399
839,-86.399
840,-86.3991
841,-86.3991
842,-86.3991
843,-86.3992
844,-86.3992
845,-86.3993
846,-86.3993
847,-86.3993
848,-86.3994
849,-86.3994
850,-86.3994
851,-86.3995
852,-86.3995
853,-86.3995
854,-86.3996
855,-86.3996
856,-86.3996
857,-86.3997
858,-86.3997
859,-86.3997
860,-86.3998
861,-86.3998
862,-86.3998
863,-86.3999
864,-86.3999
865,-86.3999
866,-86.4
867,-86.4
868,-86.4
869,-86.4001
870,-86.4001
871,-86.4001
872,-86.4002
873,-86.4002
874,-86.4002
875,-86.4002
876,-86.4003
877,-86.4003
878,-86.4003
879,-86.4004
880,-86.4004
881,-86.4004
882,-86.4005
883,-86.4005
884,-86.4005
885,-86.4005
886,-86.4006
887,-86.4006
888,-86.4006
889,-86.4006
890,-86.4007
891,-86.4007
892,-86.4007
893,-86.4008
894,-86.4008
895,-86.4008
896,-86.4008
897,-86.4009
898,-86.4009
899,-86.4009
900,-86.4009
901,-86.401
902,-86.401
903,-86.401
904,-86.401
905,-86.4011
906,-86.4011
907,-86.4011
908,-86.4011
909,-86.4012
910,-86.4012
911,-86.4012
912,-86.4012
913,-86.4013
914,-86.4013
915,-86.4013
916,-86.4013
917,-86.4014
918,-86.4014
919,-86.4014
920,-86.4014
921,-86.4015
922,-86.4015
923,-86.4015
924,-86.4015
925,-86.4015
926,-86.4016
927,-86.4016
928,-86.4016
929,-86.4016
930,-86.4017
931,-86.4017
932,-86.4017
933,-86.4017
934,-86.4017
935,-86.4018
936,-86.4018
937,-86.4018
938,-86.4018
939,-86.4019
940,-86.4019
941,-86.4019
942,-86.4019
943,-86.4019
944,-86.402
945,-86.402
946,-86.402
947,-86.402
948,-86.402
949,-86.4021
950,-86.4021
951,-86.4021
952,-86.4021
953,-86.4021
954,-86.4022
955,-86.4022
956,-86.4022
957,-86.4022
958,-86.4022
959,-86.4022
960,-86.4023
961,-86.4023
962,-86.4023
963,-86.4023
964,-86.4023
965,-86.4024
966,-86.4024
967,-86.4024
968,-86.4024
969,-86.4024
970,-86.4024
971,-86.4025
972,-86.4025
973,-86.4025
974,-86.4025
975,-86.4025
976,-86.4026
977,-86.4026
978,-86.4026
979,-86.4026
980,-86.4026
981,-86.4026
982,-86.4027
983,-86.4027
984,-86.4027
985,-86.4027
986,-86.4027
987,-86.4027
988,-86.4028
989,-86.4028
990,-86.4028
991,-86.4028
992,-86.4028
993,-86.4028
994,-86.4028
995,-86.4029
996,-86.4029
997,-86.4029
998,-86.4029
999,-86.4029
1000,-86.4029
1001,-86.403
1002,-86.403
1003,-86.403
1004,-86.403
1005,-86.403
1006,-86.403
1007,-86.403
1008,-86.4031
1009,-86.4031
1010,-86.403
1011,19.2971
1012,31.1712
1013,23.7714
1014,20.0136
1015,17.8023
1016,16.3728
1017,15.4669
1018,14.9498
1019,14.7303
1020,14.7366
1021,14.9092
1022,15.1995
1023,15.5686
1024,15.987
1025,16.4331
1026,16.8915
1027,17.3517
1028,17.8061
1029,18.2483
1030,18.674
1031,19.0803
1032,19.4654
1033,19.8279
1034,20.1671
1035,20.4822
1036,20.773
1037,21.0393
1038,21.2812
1039,21.499
1040,21.6934
1041,21.865
1042,22.0148
1043,22.1439
1044,22.2533
1045,22.3443
1046,22.4182
1047,22.4763
1048,22.5198
1049,22.5499
1050,22.5678
1051,22.5747
1052,22.5716
1053,22.5595
1054,22.5393
1055,22.5118
1056,22.4779
1057,22.4382
1058,22.3933
1059,22.3438
1060,22.2902
1061,22.233
1062,22.1725
1063,22.1091
1064,22.0431
1065,21.9749
1066,21.9046
1067,21.8324
1068,21.7586
1069,21.6833
1070,21.6066
1071,21.5287
1072,21.4497
1073,21.3697
1074,21.2887
1075,21.2068
1076,21.1241
1077,21.0406
1078,20.9564
1079,20.8715
1080,20.786
1081,20.6998
1082,20.613
1083,20.5255
1084,20.4376
1085,20.349
1086,20.2599
1087,20.1702
1088,20.0799
1089,19.9891
1090,19.8978
1091,19.8058
1092,19.7134
1093,19.6203
1094,19.5267
1095,19.4326
1096,19.3378
1097,19.2425
1098,19.1465
1099,19.05
1100,18.9529
1101,18.8551
1102,18.7567
1103,18.6577
1104,18.558
1105,18.4577
1106,18.3567
1107,18.2551
1108,18.1527
1109,18.0496
1110,17.9459
1111,17.8413
1112,17.7361
1113,17.6301
1114,17.5233
1115,17.4158
1116,17.3074
1117,17.1983
1118,17.0883
1119,16.9775
1120,16.8658
1121,16.7533
1122,16.6399
1123,16.5255
1124,16.4103
1125,16.2941
1126,16.177
1127,16.0589
1128,15.9399
1129,15.8198
1130,15.6987
1131,15.5766
1132,15.4534
1133,15.3291
1134,15.2038
1135,15.0773
1136,14.9497
1137,14.8209
1138,14.691
1139,14.5598
1140,14.4274
1141,14.2938
1142,14.1589
1143,14.0228
1144,13.8853
1145,13.7464
1146,13.6062
1147,13.4647
1148,13.3217
1149,13.1772
1150,13.0313
1151,12.8839
1152,12.735
1153,12.5845
1154,12.4324
1155,12.2787
1156,12.1234
1157,11.9664
1158,11.8077
1159,11.6473
1160,11.4851
1161,11.3211
1162,11.1553
1163,10.9876
1164,10.818
1165,10.6464
1166,10.4729
1167,10.2974
1168,10.1198
1169,9.94008
1170,9.75826
1171,9.57427
1172,9.38807
1173,9.19961
1174,9.00885
1175,8.81575
1176,8.62027
1177,8.42235
1178,8.22195
1179,8.01903
1180,7.81354
1181,7.60542
1182,7.39462
1183,7.18111
1184,6.96481
1185,6.74569
1186,6.52368
1187,6.29873
1188,6.07078
1189,5.83978
1190,5.60566
1191,5.36837
1192,5.12784
1193,4.88401
1194,4.63681
1195,4.38617
1196,4.13202
1197,3.8743
1198,3.61292
1199,3.34781
1200,3.07888
1201,2.80607
1202,2.52926
1203,2.24838
1204,1.96333
1205,1.67401
1206,1.3803
1207,1.0821
1208,0.779284
1209,0.471726
1210,0.15929
1211,-0.15817
1212,-0.480809
1213,-0.808794
1214,-1.1423
1215,-1.48153
1216,-1.82667
1217,-2.17795
1218,-2.53562
1219,-2.89991
1220,-3.27111
1221,-3.64951
1222,-4.03542
1223,-4.42917
1224,-4.83113
1225,-5.24168
1226,-5.66121
1227,-6.09017
1228,-6.52901
1229,-6.97821
1230,-7.43828
1231,-7.90977
1232,-8.39322
1233,-8.88922
1234,-9.39838
1235,-9.92134
1236,-10.4587
1237,-11.0112
1238,-11.5795
1239,-12.1642
